memory.used [MiB], memory.total [MiB], utilization.gpu [%]
1 MiB, 24564 MiB, 0 %
1 MiB, 24564 MiB, 0 %
1 MiB, 24564 MiB, 0 %
1 MiB, 24564 MiB, 0 %
1 MiB, 24564 MiB, 0 %
1 MiB, 24564 MiB, 0 %
1 MiB, 24564 MiB, 0 %
1 MiB, 24564 MiB, 0 %
1 MiB, 24564 MiB, 0 %
4 MiB, 24564 MiB, 0 %
4 MiB, 24564 MiB, 0 %
698 MiB, 24564 MiB, 0 %
928 MiB, 24564 MiB, 0 %
928 MiB, 24564 MiB, 0 %
928 MiB, 24564 MiB, 0 %
928 MiB, 24564 MiB, 0 %
928 MiB, 24564 MiB, 0 %
928 MiB, 24564 MiB, 0 %
928 MiB, 24564 MiB, 0 %
928 MiB, 24564 MiB, 0 %
6419 MiB, 24564 MiB, 9 %
6421 MiB, 24564 MiB, 13 %
6421 MiB, 24564 MiB, 13 %
6421 MiB, 24564 MiB, 14 %
6585 MiB, 24564 MiB, 17 %
6585 MiB, 24564 MiB, 8 %
8285 MiB, 24564 MiB, 8 %
8285 MiB, 24564 MiB, 8 %
8285 MiB, 24564 MiB, 10 %
8285 MiB, 24564 MiB, 9 %
10849 MiB, 24564 MiB, 12 %
10849 MiB, 24564 MiB, 8 %
10849 MiB, 24564 MiB, 8 %
11745 MiB, 24564 MiB, 35 %
16337 MiB, 24564 MiB, 100 %
16343 MiB, 24564 MiB, 62 %
16451 MiB, 24564 MiB, 72 %
12825 MiB, 24564 MiB, 68 %
10987 MiB, 24564 MiB, 5 %
11027 MiB, 24564 MiB, 11 %
11027 MiB, 24564 MiB, 0 %
11027 MiB, 24564 MiB, 0 %
11027 MiB, 24564 MiB, 0 %
14211 MiB, 24564 MiB, 100 %
11027 MiB, 24564 MiB, 0 %
1070 MiB, 24564 MiB, 0 %
1070 MiB, 24564 MiB, 0 %
1070 MiB, 24564 MiB, 0 %
1 MiB, 24564 MiB, 0 %
1 MiB, 24564 MiB, 0 %
1 MiB, 24564 MiB, 0 %
1 MiB, 24564 MiB, 0 %
1 MiB, 24564 MiB, 0 %
1 MiB, 24564 MiB, 0 %
1 MiB, 24564 MiB, 0 %
1 MiB, 24564 MiB, 0 %
1 MiB, 24564 MiB, 0 %
1 MiB, 24564 MiB, 0 %
1 MiB, 24564 MiB, 0 %
1 MiB, 24564 MiB, 0 %
1 MiB, 24564 MiB, 0 %
1 MiB, 24564 MiB, 0 %
1 MiB, 24564 MiB, 0 %
1 MiB, 24564 MiB, 0 %
1 MiB, 24564 MiB, 0 %
1 MiB, 24564 MiB, 0 %
1 MiB, 24564 MiB, 0 %
1 MiB, 24564 MiB, 0 %
1 MiB, 24564 MiB, 0 %
1 MiB, 24564 MiB, 0 %
1 MiB, 24564 MiB, 0 %
1 MiB, 24564 MiB, 0 %
1 MiB, 24564 MiB, 0 %
1 MiB, 24564 MiB, 0 %
1 MiB, 24564 MiB, 0 %
1 MiB, 24564 MiB, 0 %
1 MiB, 24564 MiB, 0 %
1 MiB, 24564 MiB, 0 %
1 MiB, 24564 MiB, 0 %
1 MiB, 24564 MiB, 0 %
1 MiB, 24564 MiB, 0 %
1 MiB, 24564 MiB, 0 %
1 MiB, 24564 MiB, 0 %
1 MiB, 24564 MiB, 0 %
1 MiB, 24564 MiB, 0 %
1 MiB, 24564 MiB, 0 %
1 MiB, 24564 MiB, 0 %
1 MiB, 24564 MiB, 0 %
1 MiB, 24564 MiB, 0 %
1 MiB, 24564 MiB, 0 %
1 MiB, 24564 MiB, 0 %
1 MiB, 24564 MiB, 0 %
1 MiB, 24564 MiB, 0 %
1 MiB, 24564 MiB, 0 %
1 MiB, 24564 MiB, 0 %
1 MiB, 24564 MiB, 0 %
1 MiB, 24564 MiB, 0 %
